Price,Close,High,Low,Open,Volume
Ticker,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS
Date,,,,,
2009-07-22,10.13253116607666,10.41641656159858,10.001506560661968,10.045181429133532,5002
2009-07-23,10.350906372070312,10.918677256180091,10.067020096986457,10.4164182690016,38666
2009-07-24,10.569278717041016,10.853164126860413,10.067018953865693,10.853164126860413,19428
2009-07-27,11.551959991455078,11.617471883402663,10.634791005102175,10.700302897049761,53416
2009-07-28,11.20256233215332,12.621990329072116,10.984188794165814,11.85768294611584,39758
2009-07-29,11.006027221679688,11.464611342154265,10.70030391934398,11.202562916299229,34070
2009-07-30,10.918676376342773,11.115212884328502,10.722139868357043,11.049700159647326,40750
2009-07-31,11.20256233215332,12.010544589312884,10.962351773578638,11.682984282331622,79028
2009-08-03,11.48644733428955,11.682983844321475,11.355423549620873,11.682983844321475,66174
2009-08-04,11.945032119750977,12.14156779466546,11.355423428949731,11.661146700633013,157400
2009-08-05,12.119730949401855,13.036899944611022,12.054219056821681,12.447291245331636,156260
2009-08-06,11.595635414123535,12.534642365170862,11.355424837315011,12.054220378524812,58630
2009-08-07,11.180724143981934,11.726657931939755,11.07153738639037,11.573796304705795,31574
2009-08-10,10.831326484680176,11.551959782132371,10.72213972240304,11.137049752267707,23046
2009-08-11,11.530122756958008,11.74849629717702,10.503766951322865,11.289912195928673,53828
2009-08-12,11.530122756958008,11.595634652417923,10.918677010950566,11.355424091388588,33600
2009-08-13,11.530122756958008,11.792171171826611,11.39909896603818,11.639309527067514,27398
2009-08-14,11.464611053466797,11.792171369280135,11.355424281529018,11.792171369280135,19976
2009-08-17,11.333586692810059,11.704821032385333,11.202562073228563,11.355423712892515,31310
2009-08-18,11.879520416259766,12.359941517901087,11.158887097739962,11.158887097739962,66798
2009-08-19,12.250755310058594,12.643828350062615,11.792171207425836,11.792171207425836,131108
2009-08-20,12.010542869567871,12.79668716054624,11.923193133668576,12.753013125625412,53814
2009-08-21,13.211599349975586,13.211599349975586,12.01054486361417,12.753015242940082,386986
2009-08-24,13.779369354248047,14.543676706167359,13.364460148737763,13.844882079407112,376726
2009-08-25,13.99774169921875,14.12876547239502,13.320784149426634,13.451807922602905,212676
2009-08-26,13.779369354248047,14.347140196747974,13.539158805427824,13.99774288336785,201858
2009-08-27,13.779369354248047,14.12876666762817,13.539158805427824,13.779369354248047,144126
2009-08-28,13.713858604431152,14.325304370291974,13.146087714638028,13.975907027808354,179718
2009-08-31,15.089609146118164,15.089609146118162,13.648344319220056,13.648344319220056,151000
2009-09-01,15.81024169921875,15.853915732701815,15.176958217368822,15.853915732701815,304946
2009-09-02,16.618223190307617,16.618223190307617,15.548192695923378,15.941265666450683,240000
2009-09-03,17.448043823242188,17.448043823242188,17.09864653963208,17.382531103665062,146000
2009-09-04,18.3215389251709,18.3215389251709,18.3215389251709,18.3215389251709,34000
2009-09-07,19.238706588745117,19.238706588745117,19.238706588745117,19.238706588745117,23000
2009-09-08,19.107685089111328,20.19955280848912,18.84563750288383,20.19955280848912,1392678
2009-09-09,18.168678283691406,19.21687196646734,18.168678283691406,19.21687196646734,187400
2009-09-10,17.273345947265625,18.780123642491002,17.273345947265625,17.317021653045646,155600
2009-09-11,16.640060424804688,17.906627421006228,16.421686919670464,17.906627421006228,147550
2009-09-14,17.49172019958496,17.49172019958496,16.268828710278928,16.683738768987553,56400
2009-09-15,18.36521339416504,18.36521339416504,18.36521339416504,18.36521339416504,30800
2009-09-16,19.282384872436523,19.282384872436523,18.365214975120487,19.282384872436523,662400
2009-09-17,19.282384872436523,20.265065834237884,18.343377953625378,20.265065834237884,506494
2009-09-18,18.692777633666992,19.566271931184687,18.343380247871547,19.566271931184687,119866
2009-09-22,18.82379722595215,19.63178026969109,18.212352354372772,18.93298398866894,268638
2009-09-23,17.90662956237793,18.692773941661006,17.884792542464645,18.518076116296893,81606
2009-09-24,18.801959991455078,18.801959991455078,17.011297769814696,17.12048453128198,199000
2009-09-25,18.736448287963867,19.697290422889026,18.21235151778615,19.216869355426446,186250
2009-09-29,18.649099349975586,19.653617230781766,18.452562844456214,19.609943192247584,91330
2009-09-30,18.277864456176758,18.758287239201206,18.146840666645684,18.474400973502313,69088
2009-10-01,17.884794235229492,18.714612732880028,17.688257705292425,18.714612732880028,60340
2009-10-05,17.18599510192871,18.103164871920107,17.076808343552905,17.469881340128893,44826
2009-10-06,16.880271911621094,17.906626676665482,16.4435249195073,17.775602912242856,69342
2009-10-07,17.731931686401367,17.731931686401367,17.033136989166447,17.033136989166447,26400
2009-10-08,17.49172019958496,18.62726360584319,16.858436601141047,18.62726360584319,92346
2009-10-09,16.880271911621094,17.710090197002764,16.640059733112462,17.710090197002764,47292
2009-10-12,17.229671478271484,17.600905804834454,16.9676222482937,17.03313497230259,47910
2009-10-13,17.229671478271484,17.229671478271484,17.229671478271484,17.229671478271484,0
2009-10-14,16.923948287963867,17.469882103704638,16.683737742249487,17.469882103704638,36964
2009-10-15,17.229671478271484,17.600905804834454,17.054971991619627,17.054971991619627,53022
2009-10-16,16.661903381347656,17.229674307098083,16.53087791181767,17.229674307098083,24980
2009-10-20,18.234189987182617,18.27786402731561,17.753768881488366,18.103166200725806,190372
2009-10-21,17.81928062438965,18.430727206024617,17.55723304143632,17.55723304143632,86636
2009-10-22,17.14232063293457,17.993977660011645,17.07680791313723,17.469880899805933,56706
2009-10-23,17.207834243774414,17.884791830484044,17.076808797395078,17.229671262818385,35998
2009-10-26,17.164161682128906,17.819282369737323,16.64006479883056,17.688258565427255,47890
2009-10-27,16.421688079833984,17.09864732642216,16.334340004455406,16.683737304142944,39408
2009-10-28,17.251506805419922,17.251506805419922,16.18147630326463,17.1204830363118,142800
2009-10-29,17.098648071289062,17.841116740697526,16.70557505073109,16.70557505073109,83146
2009-10-30,16.967622756958008,17.972142336233528,16.61822543923766,17.906629610260662,135268
2009-11-03,16.421688079833984,17.77560490695259,16.399851060989338,17.46988164495434,35108
2009-11-04,16.727413177490234,17.142323245301473,16.378015839460005,17.142323245301473,34490
2009-11-05,16.465364456176758,17.0112982798825,16.334340671698943,16.55271420118124,27244
2009-11-06,16.399850845336914,16.902110602447905,16.37801382677942,16.902110602447905,23726
2009-11-09,16.661903381347656,16.814764207721907,16.268830304873795,16.378017085443417,39024
2009-11-10,16.421688079833984,16.92394784354952,16.399851060989338,16.705574322987587,16034
2009-11-11,17.229671478271484,17.448045003557414,16.378014396444797,16.705574684373694,63438
2009-11-12,18.103166580200195,18.430726886237384,16.858436417624155,17.185996723661344,100644
2009-11-13,18.627262115478516,19.60994296566315,18.387049908142732,18.64909913449329,218568
2009-11-16,18.496238708496094,19.216872077838204,18.38705193532656,19.216872077838204,62080
2009-11-17,18.212352752685547,19.020334148037644,17.710092966780525,19.020334148037644,46392
2009-11-18,18.25602912902832,18.67093922274538,17.68825821102194,17.68825821102194,39030
2009-11-19,18.408891677856445,18.976662597666504,17.972144560147473,18.53991547995753,68546
2009-11-20,18.758289337158203,18.9329871873855,17.644584502498713,18.125005673196355,84116
2009-11-23,18.36521339416504,18.998496959355105,18.2778636496461,18.998496959355105,47822
2009-11-24,18.387054443359375,18.60542801948506,17.68825966618045,17.731933714982322,48266
2009-11-25,18.408891677856445,18.889312840913103,18.14684240759624,18.343378943776884,57036
2009-11-26,18.212352752685547,18.561750067809218,18.037653262094803,18.037653262094803,22278
2009-11-27,18.25602912902832,18.518078398456055,17.68825821102194,18.21235508381938,59952
2009-11-30,19.15135955810547,19.435245837891106,18.103167523786567,18.780125191670056,74670
2009-12-01,21.02937126159668,21.07304530045949,18.84563599730036,19.43524385223725,367694
2009-12-02,19.80647850036621,21.7500032501646,19.609943656254245,21.182232405496865,219046
2009-12-03,19.80647850036621,21.16039538571307,19.43524416586826,20.26506424611497,316450
2009-12-04,20.30873680114746,20.745483829129125,20.090363287156627,20.30873680114746,153756
2009-12-07,19.937501907348633,20.83283295516443,19.784639452416698,19.915663223745753,51970
2009-12-08,20.177715301513672,20.63629939939987,19.871992014236913,20.439762881432106,51692
2009-12-09,20.221389770507812,20.483439022026616,19.828318392316483,20.09036597777737,83918
2009-12-10,20.30873680114746,21.400604371101625,20.003013548348754,21.400604371101625,36078
2009-12-11,20.09036636352539,20.89834782259182,19.216872173806895,20.89834782259182,122480
2009-12-14,20.13404083251953,20.352414384568803,19.806480504445627,20.30874034058214,30646
2009-12-15,19.740966796875,20.090364100188467,19.63178003546093,19.87199057736033,79330
2009-12-16,19.719133377075195,20.02485503199079,19.457084102215745,20.02485503199079,46892
2009-12-17,20.112201690673828,20.352412239397925,19.435244083884903,19.58810488778447,38432
2009-12-18,20.199552536010742,20.61446259698903,19.719131412388244,20.09036576554582,83290
2009-12-21,20.09036636352539,20.963860553243887,19.478919764299263,20.963860553243887,49804
2009-12-22,19.762805938720703,20.352413847264884,19.675456186995433,20.00301650642174,15802
2009-12-23,20.177715301513672,20.94202268667663,19.69729251691937,20.068528532204677,101378
2009-12-24,20.112201690673828,20.352412239397925,19.719130338050167,20.09036467098215,16916
2009-12-29,20.286901473999023,20.658135812305048,19.67545491743375,19.67545491743375,69862
2009-12-30,20.330575942993164,21.094883321797855,20.003015637791155,20.658136248195174,50524
2009-12-31,20.112201690673828,20.52711172904698,19.95934088677426,20.308738200014563,14184
2010-01-04,20.76732063293457,20.920183090784764,19.9593393059324,20.090363079762795,72564
2010-01-05,20.43976402282715,21.02937360965536,20.13404071847822,20.13404071847822,80956
2010-01-06,20.26506233215332,20.85467014091853,20.155875577488825,20.745483386254033,99982
2010-01-07,20.26506233215332,20.7673204039754,19.981176103602568,20.7673204039754,18504
2010-01-08,21.37877082824707,23.14759624590154,20.13404059652136,20.74548720151553,431970
2010-01-11,22.121240615844727,22.92922206011119,21.422444277235158,21.444281298366537,339784
2010-01-12,21.70633316040039,22.929224817452923,21.400609829622727,22.27410410838284,110362
2010-01-13,21.204069137573242,22.05572622604804,20.985695610582667,22.05572622604804,46294
2010-01-14,21.24774742126465,22.274102456257225,21.160397666655964,21.182234688793635,61452
2010-01-15,21.553470611572266,22.49247762546644,20.96386264121144,21.662657396161908,159716
2010-01-18,21.094881057739258,22.055724849751865,20.920183246682765,22.055724849751865,51086
2010-01-19,20.985694885253906,21.968375722747087,20.67997162482226,20.67997162482226,55890
2010-01-20,20.614459991455078,21.618977819556257,20.527110252912003,21.618977819556257,62468
2010-01-21,19.937501907348633,21.81551373921881,19.21686866595236,21.81551373921881,56092
2010-01-22,19.762805938720703,20.30873980443122,18.911148775000708,20.30873980443122,35456
2010-01-25,19.871990203857422,20.30873724130484,19.50075588845021,20.286900222644014,23446
2010-01-27,19.85015296936035,20.52711053683155,19.21686943873592,20.52711053683155,59236
2010-01-28,19.500755310058594,20.570784187221566,18.867471791331457,19.304218815824974,48074
2010-01-29,23.40964126586914,23.40964126586914,18.365213160312496,19.216870242926475,0
2010-02-01,22.012054443359375,24.850910585226146,21.66265543151402,24.152114227593394,1773032
2010-02-02,21.66265296936035,22.92922007819822,21.356931367830594,22.64533382985456,209464
2010-02-03,21.335094451904297,22.689011416059312,20.963860095797713,22.252264330730195,163558
2010-02-04,20.417924880981445,21.40060575760622,20.134038627977834,21.07304546539796,65458
2010-02-05,19.45708465576172,20.0903683387828,18.80196394906228,18.80196394906228,88282
